level_0,index,wallet,total_txns,total_deposit_usd,total_borrow_usd,total_repay_usd,total_redeem_usd,total_liquidations,unique_assets,num_actions,repay_to_borrow_ratio,net_flow,is_liquidated,days_since_last_txn
0,0,0x00000000001accfa9cef68cf5371a23025b6d4b6,1,1987.6636548592714,0.0,0.0,0.0,0.0,1,1,0.0,1987.6636548592714,0,1428
1,1,0x000000000051d07a4fb3bd10121a343d85818da6,1,285.69448036149265,0.0,0.0,0.0,0.0,1,1,0.0,285.69448036149265,0,1516
2,2,0x000000000096026fb41fc39f9875d164bd82e2dc,2,0.005152310624158185,0.0,0.0,0.0,0.0,1,1,0.0,0.005152310624158185,0,1444
3,3,0x0000000000e189dd664b9ab08a33c4839953852c,17,0.0,0.0,0.0,989.3606480161834,0.0,4,1,0.0,-989.3606480161834,0,1418
4,4,0x0000000002032370b971dabd36d72f3e5a7bf1ee,399,925490.6969600009,130355.75475607085,70150.26379074076,824037.5778151978,0.0,6,4,0.5381406120611774,-28902.635611267644,0,1412
5,5,0x000000000a38444e0a6e37d3b630d7e855a7cb13,25,18390.665686010514,11631.431210321323,11640.280239622172,9355.620851568487,0.0,5,4,1.0006747539838348,-2596.386375879296,0,1454
6,6,0x000000003853fcedcd0355fec98ca3192833f00b,8,0.09826816369894827,0.0,0.0,0.0,0.0,7,1,0.0,0.09826816369894827,0,1436
7,7,0x000000003ce0cf2c037493b1dc087204bd7f713e,492,672499.5759299963,134825.70525390722,2745.9674747017425,507275.63934005384,0.0,7,4,0.020366643756001487,30398.231336035242,0,1412
8,8,0x000000007858e6f2668e1e06111cfa24403a5466,1,0.14216066648145406,0.0,0.0,0.0,0.0,1,1,0.0,0.14216066648145406,0,1500
9,9,0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,1.7666525037857388,0.0,0.0,0.0,0.0,1,1,0.0,1.7666525037857388,0,1453
10,10,0x0000000506063a51c6ce59906d8c40f7d7fe92a7,69,799991.6941682947,597501.9617796154,597568.679828446,801072.9370227363,0.0,1,4,1.0001099878210393,-598583.204634057,0,1506
11,11,0x00000029ff545c86524ade7caf132527707948c4,47,4223576.434229029,2728428.525572976,2718056.0151330894,4207845.962146073,0.0,4,4,0.9961979921626496,-2712698.0534900194,0,1551
12,12,0x00000087c4cebffb95746d1935de7fbcab092f40,250,2131004.7247537947,1265148.940151578,1236773.7492266344,2083649.935326888,0.0,8,4,0.9775708870352996,-1217794.1507246713,0,1411
13,13,0x000000e28faa823d5b53ff6c2922c28335840375,297,3709065.7996441405,2977862.7996136593,2270684.973261751,3288489.3186057685,0.0,7,4,0.7625214335042267,-2557286.3185752872,0,1412
14,14,0x000006eee6e39015cb523aebdd4d0b1855aba682,28,77871.46331912852,24758.96632948498,23151.274780815504,149679.44198953183,3.0,7,5,0.9350285243823698,-96566.94499988828,1,1511
15,15,0x00000a9c78912badb92d73b6ed26456e11def5eb,1,1.6927543127773312,0.0,0.0,0.0,0.0,1,1,0.0,1.6927543127773312,0,1451
16,16,0x00001bc47f0973f794f79c16121cee879e272d6a,4,0.0,0.0,0.0,53501.44012314356,0.0,2,1,0.0,-53501.44012314356,0,1435
17,17,0x00002b503a75998c97508916a74fdb41934fa030,147,2385945.702834572,2401891.8174879523,1924330.2671071426,1669800.3264067173,0.0,7,4,0.801172414146159,-1685746.4410600974,0,1412
18,18,0x0000897253cc85f7547317eb2080b36b3255687a,2,466.18576206638966,0.0,0.0,465.53240002876504,0.0,1,2,0.0,0.6533620376246176,0,1425
19,19,0x0000b252c943089fbba5554a1d196ef79bc77e4f,1,1.116218296466259,0.0,0.0,0.0,0.0,1,1,0.0,1.116218296466259,0,1451
20,20,0x0000ce08fa224696a819877070bf378e8b131acf,14,1943.2214782403357,1257.932658028036,0.0,10003.427264728078,0.0,4,3,0.0,-9318.138444515778,0,1455
